,NSheets,WidthWater,LengthGraphene,Temperature,dT,Pressure,ContactAngle,SurfaceTension,RelativeDensity,RelativeTBR,std_rho,std_R,RelativeDessityError,RelativeTBCError
101,8,30,60,280,100,1,120,75.74188565,1.4871699614971796,1.585501859,0.07121,0.07121,0.05585136090989725,0.04240204691935329
15,8,30,60,300,100,1,130,72.93553574,1.548030689463684,1.610285006,0.07037,0.07037,0.025389692409502264,0.015040144167344466
103,8,30,60,280,100,1,130,75.74188565,1.5699030287342208,1.818463445,0.07037,0.07037,0.02288215256790367,0.026611759682114787
115,8,30,60,360,100,1,130,63.30859851,1.5986028166216757,1.569392813,0.07685,0.07685,0.039874058664685116,0.05250286398402916
107,8,30,60,340,100,1,120,66.70946579,1.599307609970332,1.339219331,0.0788,0.0788,0.03384222887974035,0.04523115980299935
97,8,30,60,260,100,1,130,78.33244767,1.6288478454515252,1.91976456,0.1281,0.1281,0.08185616090640847,0.03235555759752822
8,8,30,60,300,100,1,120,72.93553574,1.6467103033385797,1.37732342,0.1313,0.1313,0.0654743529264944,0.03213176835051179
95,8,30,60,260,100,1,120,78.33244767,1.6530831551372753,1.6868029740000001,0.07967,0.07967,0.03080320702685308,0.010994144165953958
109,8,30,60,340,100,1,130,66.70946579,1.6590619472290982,1.5721809169999998,0.1405,0.1405,0.02362117288171296,0.01611437703587116
21,18,30,60,300,100,1,130,72.93553574,1.6778256735896324,1.21685254,0.1405,0.1405,0.021531111264322306,0.022261970038767447
112,8,30,60,360,100,1,110,63.30859851,1.7611819153450767,1.1796778190000001,0.111,0.111,0.05496323811134922,0.01398087142321756
94,8,30,60,260,100,1,110,78.33244767,1.7735133487456962,1.530049566,0.08732000000000001,0.08732000000000001,0.07053622128492962,0.037817470139259506
148,2,30,30,300,100,1,95,72.93553574,1.781872129053963,1.875464684,0.1827,0.1827,0.027942516120405228,0.03349075450293987
106,8,30,60,340,100,1,110,66.70946579,1.8004651487316226,1.1824659229999999,0.09851,0.09851,0.02137263064005247,0.01228450032985657
7,8,30,60,300,100,1,110,72.93553574,1.8103778512532072,1.220570012,0.07967,0.07967,0.041980083270063126,0.016844264654908514
113,8,30,60,360,100,1,120,63.30859851,1.839264844778913,1.336431227,0.08091,0.08091,0.04108773801942093,0.014764486547485335
42,8,30,60,280,100,-230,95,75.74188565,1.843753581843749,1.282846046,0.1284,0.1284,0.01801284622651307,0.04272158146315212
130,2,10,60,300,100,1,95,72.93553574,1.8570129532999216,1.7091078069999999,0.1284,0.1284,0.03917575253764115,0.016943165275316016
121,4,20,30,300,100,1,95,72.93553574,1.8582527808474223,1.546158612,0.09756000000000001,0.09756000000000001,0.011022412401467785,0.01601735403301803
90,8,30,60,300,100,-230,130,72.93553574,1.860216037772414,1.729244114,0.5,0.5,0.06748445641147467,0.0670819147860345
124,4,50,30,300,100,1,95,72.93553574,1.872043163624177,1.6623296159999998,0.1169,0.1169,0.04470857531638763,0.06274979631668158
88,8,30,60,300,100,10,130,72.93553574,1.8785543180640514,1.602540273,0.1936,0.1936,0.05370171129518842,0.03243237190880721
160,2,30,80,300,100,1,95,72.93553574,1.8829777954376925,1.700433705,0.1051,0.1051,0.03755772161778387,0.027798723977190118
154,2,30,40,300,100,1,95,72.93553574,1.9114081548017108,1.745043371,0.1219,0.1219,0.027264830167056046,0.02703330040812884
24,8,30,60,300,100,-320,110,72.93553574,1.9182779161588845,1.4355638169999998,0.111,0.111,0.03812567847793236,0.05649509247975215
48,8,30,60,340,100,-230,95,66.70946579,1.9216003677197844,1.088961945,0.06627999999999999,0.06627999999999999,0.027139835775229992,0.0357153134919753
142,2,50,60,300,100,1,95,72.93553574,1.9302124705835275,1.776332094,0.1125,0.1125,0.014936706765559447,0.012165170346028922
126,4,50,80,300,100,1,95,72.93553574,1.9308585023450526,1.4872986369999999,0.5917,0.5917,0.08724308302777206,0.06291367700051667
100,8,30,60,280,100,1,110,75.74188565,1.9341401107350629,1.428748451,0.1185,0.1185,0.019886642388780476,0.04250558428716915
125,4,50,40,300,100,1,95,72.93553574,1.9467459653705097,1.531908302,0.1005,0.1005,0.025960664002145584,0.0394371753980057
83,8,30,60,300,100,180,120,72.93553574,1.9489001812350502,1.331164808,0.5081,0.5081,0.07155982255175927,0.05390894851393833
78,8,30,60,300,100,-230,110,72.93553574,1.9527522981085366,1.33952912,0.423,0.423,0.05420260580567932,0.04986325039204348
33,8,30,60,360,100,1,95,63.30859851,1.9628216848598465,0.9863692689,0.09756000000000001,0.09756000000000001,0.03037118100358798,0.027511714952602257
87,8,30,60,300,100,-90,120,72.93553574,1.9833180067768883,1.436183395,0.1125,0.1125,0.03660616924496159,0.05086592936447854
136,2,20,60,300,100,1,95,72.93553574,1.9868411174953449,1.66016109,0.06627999999999999,0.06627999999999999,0.02676538392510457,0.013586242986523053
23,8,30,60,300,100,-230,95,72.93553574,1.9882051481634204,1.1189591079999999,0.1555,0.1555,0.015929937967567042,0.018676979382079604
139,8,50,60,300,100,1,95,72.93553574,1.9967276262142546,1.0845724909999999,0.07967,0.07967,0.04148631045905833,0.03257281361455441
76,8,30,60,300,100,10,110,72.93553574,1.997006719573631,1.212825279,0.08611,0.08611,0.015643470934512765,0.03265859697568822
12,2,30,60,300,100,1,95,72.93553574,1.9974933952632294,1.6917596030000002,0.1185,0.1185,0.061644065313296116,0.019596536348159044
118,4,10,30,300,100,1,95,72.93553574,2.0025229853311473,1.595105328,0.07508,0.07508,0.029769324817320066,0.013554055011506711
30,4,30,80,300,100,1,95,72.93553574,2.0039452683127226,1.402726146,0.07508,0.07508,0.013263066570848447,0.028479059301341852
13,4,30,60,300,100,1,95,72.93553574,2.003950751484355,1.394052045,0.07121,0.07121,0.033749868922545084,0.035521358743579506
